tmdb_id,media_type,title,severity,chatgpt_primary,claude_primary,gemini_primary,primary_agreement,chatgpt_secondary,claude_secondary,gemini_secondary,secondary_agreement,chatgpt_tone_tags,claude_tone_tags,gemini_tone_tags,avg_tone_jaccard,chatgpt_pacing,claude_pacing,gemini_pacing,pacing_agreement
3782,movie,Ikiru,low,psychological-drama,psychological-drama,psychological-drama,full,workplace-drama,social-drama,social-drama,majority,melancholic|meditative|earnest,melancholic|bittersweet|meditative,meditative|melancholic|bittersweet,0.667,slow,slow,slow,full
1510795,movie,"Shake, Rattle & Roll: Evil Origins",moderate,supernatural-horror,supernatural-horror,supernatural-horror,full,slasher,slasher,,majority,menacing|tense|visceral,menacing|gritty|bleak,menacing|visceral,0.372,fast,fast,fast,full
24428,movie,The Avengers,moderate,superhero,superhero,superhero,full,adventure-action,,,majority,earnest|tense,uplifting|playful|tense,playful|earnest,0.278,fast,fast,fast,full
102382,movie,The Amazing Spider-Man 2,moderate,superhero,superhero,superhero,full,romantic-drama,romantic-drama,,majority,earnest|romantic|tense,bittersweet|tense|romantic,earnest,0.278,fast,fast,fast,full
155,movie,The Dark Knight,low,superhero,superhero,superhero,full,crime-thriller,crime-thriller,crime-thriller,full,tense|menacing|gritty,menacing|tense|cerebral,gritty|tense,0.472,fast,fast,fast,full
1263532,movie,Beast Race,low,dystopian-sci-fi,dystopian-sci-fi,dystopian-sci-fi,full,action-thriller,survival-thriller,survival-thriller,majority,tense|visceral|gritty,tense|gritty|bleak,tense|gritty,0.611,fast,fast,fast,full
1361774,movie,The Dink,major,workplace-comedy,absurdist-comedy,sports-drama,none,,,,full,playful|earnest,playful|wry,playful|wry,0.556,moderate,moderate,fast,majority
361743,movie,Top Gun: Maverick,low,military-action,military-action,military-action,full,action-thriller,,sports-drama,none,earnest|tense|uplifting,uplifting|tense|earnest,earnest|uplifting,0.778,fast,fast,fast,full
671,movie,Harry Potter and the Philosopher's Stone,moderate,urban-fantasy,urban-fantasy,urban-fantasy,full,adventure-action,coming-of-age-drama,coming-of-age-drama,majority,warm|playful|earnest,warm|playful|uplifting,playful|earnest,0.472,fast,moderate,moderate,majority
5879,movie,In the Realm of the Senses,moderate,erotic-romance,erotic-romance,erotic-romance,full,tragic-romance,tragic-romance,psychological-drama,majority,romantic|unsettling|visceral,visceral|unsettling|bleak,visceral|unsettling,0.611,moderate,slow,slow,majority
1668364,movie,Desire,moderate,erotic-thriller,relationship-drama,erotic-thriller,majority,relationship-drama,family-drama,family-drama,majority,romantic|tense|unsettling,tense|unsettling|melancholic,tense|menacing,0.333,moderate,moderate,moderate,full
1726,movie,Iron Man,moderate,superhero,superhero,superhero,full,tech-sci-fi,,,majority,earnest|tense,earnest|uplifting|tense,playful|earnest,0.417,fast,fast,fast,full
299536,movie,Avengers: Infinity War,low,superhero,superhero,superhero,full,space-opera,space-opera,space-opera,full,tense|menacing|visceral,bleak|tense|menacing,tense|bleak,0.472,fast,fast,fast,full
122,movie,The Lord of the Rings: The Return of the King,moderate,epic-fantasy,epic-fantasy,epic-fantasy,full,adventure-action,,,majority,earnest|tense,uplifting|bittersweet|earnest,earnest|uplifting|tense,0.472,fast,moderate,moderate,majority
98894,movie,Jessica,major,romantic-comedy,screwball-comedy,sex-comedy,none,sex-comedy,romantic-comedy,,none,playful|romantic,playful|warm|romantic,playful|warm,0.556,moderate,moderate,moderate,full
1259102,movie,Eternity,moderate,romantic-comedy,romantic-drama,romantic-comedy,majority,,,magical-realism,majority,romantic|bittersweet|warm,bittersweet|romantic|meditative,warm|meditative,0.333,moderate,moderate,moderate,full
680,movie,Pulp Fiction,major,crime-drama,dark-comedy,black-comedy,none,black-comedy,neo-noir,gangster,none,cynical|visceral|wry,absurdist|wry|stylized,stylized|wry,0.372,fast,fast,moderate,majority
603,movie,The Matrix,low,cyberpunk,cyberpunk,cyberpunk,full,martial-arts,dystopian-sci-fi,martial-arts,majority,cerebral|tense|stylized,cerebral|stylized|tense,stylized|cerebral,0.778,fast,fast,fast,full
21484,movie,Possession,moderate,supernatural-horror,psychological-horror,psychological-horror,majority,psychological-horror,body-horror,body-horror,majority,unsettling|visceral|bleak,unsettling|visceral|bleak,unsettling|visceral|menacing,0.667,moderate,moderate,moderate,full
949838,movie,72 HOURS,none,buddy-comedy,buddy-comedy,buddy-comedy,full,,,,full,playful,playful|raunchy|absurdist,playful|raunchy,0.5,fast,fast,fast,full
19995,movie,Avatar,major,adventure-action,alien-first-contact,space-opera,none,alien-first-contact,space-opera,adventure-action,none,earnest|romantic|tense,uplifting|visceral|earnest,earnest|visceral,0.372,fast,moderate,fast,majority
83533,movie,Avatar: Fire and Ash,moderate,adventure-action,space-opera,space-opera,majority,family-drama,family-drama,,majority,tense|melancholic|earnest,tense|bittersweet|gritty,tense|visceral,0.233,fast,fast,fast,full
1325734,movie,The Drama,moderate,romantic-comedy,romantic-comedy,romantic-comedy,full,dark-comedy,dark-comedy,dark-comedy,full,romantic|tense,wry|tense|sentimental,tense|playful,0.278,moderate,moderate,fast,majority
755898,movie,War of the Worlds,moderate,conspiracy-thriller,conspiracy-thriller,tech-thriller,majority,tech-thriller,tech-sci-fi,sci-fi-horror,none,tense|cerebral|menacing,tense|unsettling|cynical,tense|menacing,0.372,fast,fast,fast,full
1416,tv,Grey's Anatomy,low,workplace-drama,workplace-drama,workplace-drama,full,relationship-drama,soap-serial-drama,soap-serial-drama,majority,earnest,sentimental|tense|earnest,earnest|sentimental,0.5,moderate,moderate,moderate,full
5920,tv,The Mentalist,major,procedural,detective,police-procedural,none,detective,procedural,,none,cerebral,wry|playful|cerebral,wry|tense,0.194,moderate,moderate,moderate,full
65334,tv,Miraculous: Tales of Ladybug & Cat Noir,low,superhero,superhero,superhero,full,animated-family,animated-family,animated-family,full,playful|romantic|warm,playful|warm|uplifting,playful|earnest,0.333,fast,fast,fast,full
94997,tv,House of the Dragon,low,epic-fantasy,epic-fantasy,epic-fantasy,full,political-drama,political-drama,political-drama,full,bleak|melancholic|tense,melancholic|bleak|tense,gritty|menacing|tense,0.467,moderate,moderate,moderate,full
113962,tv,Lioness,low,espionage-thriller,espionage-thriller,espionage-thriller,full,military-action,military-action,,majority,tense|earnest|gritty,tense|earnest|gritty,tense|gritty,0.778,fast,fast,fast,full
125988,tv,Silo,moderate,dystopian-sci-fi,post-apocalyptic,dystopian-sci-fi,majority,conspiracy-thriller,dystopian-sci-fi,,none,cynical|bleak|tense,bleak|cynical|unsettling,tense|unsettling,0.333,moderate,moderate,moderate,full
4614,tv,NCIS,moderate,police-procedural,police-procedural,police-procedural,full,,procedural,,majority,earnest,earnest|tense|gritty,wry|earnest,0.361,moderate,moderate,moderate,full
2734,tv,Law & Order: Special Victims Unit,moderate,police-procedural,police-procedural,police-procedural,full,courtroom-crime,courtroom-crime,crime-drama,majority,gritty|tense|earnest,gritty|bleak|tense,gritty|earnest,0.472,moderate,moderate,moderate,full
32419,tv,Horrible Histories,low,sketch-comedy,sketch-comedy,sketch-comedy,full,parody-spoof,,,majority,playful,playful|absurdist|satirical,playful|absurdist,0.5,fast,fast,fast,full
549,tv,Law & Order,low,police-procedural,police-procedural,police-procedural,full,courtroom-crime,courtroom-crime,legal-drama,majority,gritty|earnest|tense,gritty|earnest|tense,earnest|gritty,0.778,moderate,moderate,moderate,full
79744,tv,The Rookie,moderate,police-procedural,police-procedural,police-procedural,full,dramedy,dramedy,dramedy,full,earnest|uplifting,earnest|playful|tense,earnest|playful,0.417,moderate,moderate,fast,majority
456,tv,The Simpsons,moderate,family-sitcom,satire,family-sitcom,majority,adult-animation,family-sitcom,satire,none,satirical|wry|playful,satirical|playful|absurdist,playful|wry,0.472,fast,fast,fast,full
60625,tv,Rick and Morty,moderate,absurdist-comedy,absurdist-comedy,adult-animation,majority,adult-animation,adult-animation,absurdist-comedy,majority,absurdist|cynical|playful,absurdist|cynical|deadpan,cynical|playful|absurdist,0.667,fast,fast,fast,full
1622,tv,Supernatural,moderate,supernatural-horror,supernatural-horror,supernatural-horror,full,,urban-fantasy,adventure-action,none,menacing|tense|earnest,menacing|bittersweet|tense,tense|gritty,0.333,moderate,moderate,fast,majority
97546,tv,Ted Lasso,low,workplace-comedy,workplace-comedy,workplace-comedy,full,dramedy,dramedy,sports-drama,majority,warm|uplifting|earnest,warm|uplifting|earnest,warm|uplifting,0.778,moderate,moderate,moderate,full
4057,tv,Criminal Minds,low,police-procedural,police-procedural,police-procedural,full,psychological-thriller,psychological-thriller,psychological-thriller,full,tense|gritty|menacing,tense|unsettling|gritty,menacing|gritty,0.472,moderate,moderate,moderate,full
22980,tv,Watch What Happens Live with Andy Cohen,low,late-night-talk-show,late-night-talk-show,late-night-talk-show,full,,,,full,playful,playful,playful|wry,0.667,moderate,fast,fast,majority
1095,tv,Ghost in the Shell: Stand Alone Complex,low,cyberpunk,cyberpunk,cyberpunk,full,police-procedural,police-procedural,anime-action,majority,cerebral|tense,cerebral|tense|stylized,cerebral|tense,0.778,moderate,moderate,moderate,full
291496,tv,Our Sticky Love,none,romantic-comedy,romantic-comedy,romantic-comedy,full,,,,full,romantic|playful|warm,playful|warm|romantic,warm|playful,0.778,moderate,moderate,moderate,full
1434,tv,Family Guy,moderate,family-sitcom,satire,family-sitcom,majority,adult-animation,adult-animation,adult-animation,full,satirical|raunchy|absurdist,absurdist|satirical|raunchy,cynical|absurdist|raunchy,0.667,fast,fast,fast,full
138502,tv,X-Men '97,low,superhero,superhero,superhero,full,social-drama,social-drama,,majority,tense|earnest,tense|earnest|bittersweet,earnest|tense,0.778,fast,fast,fast,full
1399,tv,Game of Thrones,low,epic-fantasy,epic-fantasy,epic-fantasy,full,political-drama,political-drama,political-drama,full,gritty|cynical|menacing,gritty|tense|bleak,gritty|menacing|bleak,0.4,moderate,moderate,moderate,full
108978,tv,Reacher,low,action-thriller,action-thriller,action-thriller,full,conspiracy-thriller,crime-thriller,detective,none,gritty|tense,tense|gritty|visceral,gritty|visceral,0.556,fast,fast,fast,full
278624,tv,Lucky,moderate,crime-thriller,crime-thriller,heist,majority,survival-thriller,heist,crime-thriller,none,tense|gritty,tense|gritty|visceral,tense|playful,0.417,fast,fast,fast,full
1431,tv,CSI: Crime Scene Investigation,low,police-procedural,police-procedural,police-procedural,full,detective,procedural,,none,cerebral|tense|gritty,cerebral|gritty|tense,gritty|earnest,0.5,moderate,moderate,moderate,full
59941,tv,The Tonight Show Starring Jimmy Fallon,none,late-night-talk-show,late-night-talk-show,late-night-talk-show,full,,,,full,playful,playful|warm,playful|warm,0.667,fast,fast,fast,full
106841,tv,Blossoms Shanghai,moderate,historical-drama,historical-drama,historical-drama,full,relationship-drama,relationship-drama,romantic-drama,majority,melancholic|romantic,stylized|melancholic|dreamlike,meditative|stylized|melancholic,0.333,moderate,slow,slow,majority
1396,tv,Breaking Bad,moderate,gangster,crime-drama,crime-drama,majority,psychological-drama,psychological-drama,gangster,majority,cynical|tense|bleak,bleak|tense|gritty,gritty|tense,0.472,moderate,moderate,moderate,full
1408,tv,House,moderate,procedural,workplace-drama,procedural,majority,workplace-drama,puzzle-mystery,workplace-drama,majority,cerebral|cynical|wry,cerebral|cynical|wry,cynical|cerebral,0.778,moderate,moderate,moderate,full
1413,tv,American Horror Story,moderate,anthology,supernatural-horror,anthology,majority,supernatural-horror,anthology,supernatural-horror,majority,menacing|unsettling|visceral,unsettling|menacing|bleak,unsettling|visceral,0.472,moderate,fast,moderate,majority
1668,tv,Friends,low,sitcom,sitcom,sitcom,full,,,,full,warm|playful|romantic,warm|playful|uplifting,warm|playful,0.611,fast,moderate,fast,majority
76479,tv,The Boys,none,superhero,superhero,superhero,full,satire,satire,satire,full,satirical|cynical|visceral,satirical|cynical|visceral,cynical|visceral|satirical,1,fast,fast,fast,full
203744,tv,Sugar,low,neo-noir,neo-noir,neo-noir,full,detective,detective,detective,full,enigmatic|tense,enigmatic|stylized|melancholic,enigmatic|stylized,0.417,moderate,moderate,moderate,full
63770,tv,The Late Show with Stephen Colbert,moderate,late-night-talk-show,late-night-talk-show,late-night-talk-show,full,satire,,,majority,satirical|wry|playful,satirical|playful|wry,satirical|playful,0.778,moderate,fast,fast,majority
61818,tv,Late Night with Seth Meyers,moderate,late-night-talk-show,late-night-talk-show,late-night-talk-show,full,satire,,,majority,satirical|wry|playful,satirical|wry|playful,satirical|wry,0.778,moderate,fast,fast,majority
894,tv,The Prisoner,moderate,psychological-thriller,dystopian-sci-fi,psychological-thriller,majority,espionage-thriller,psychological-thriller,dystopian-sci-fi,none,enigmatic|unsettling|tense,enigmatic|unsettling|tense,enigmatic|unsettling|dreamlike,0.667,moderate,moderate,slow,majority
34307,tv,Shameless,moderate,family-drama,family-drama,dramedy,majority,dramedy,dramedy,family-drama,majority,gritty|warm,gritty|bleak|wry,raunchy|gritty|warm,0.372,moderate,moderate,fast,majority
94664,tv,Mushoku Tensei: Jobless Reincarnation,none,isekai,isekai,isekai,full,epic-fantasy,epic-fantasy,epic-fantasy,full,playful|raunchy|earnest,playful|earnest|raunchy,earnest|playful,0.778,moderate,moderate,moderate,full
60572,tv,Pokémon,low,anime-action,anime-action,anime-action,full,adventure-action,animated-family,animated-family,majority,playful|warm|uplifting,playful|warm|uplifting,earnest|playful,0.5,fast,fast,fast,full
45140,tv,Teen Titans Go!,moderate,superhero,parody-spoof,superhero,majority,parody-spoof,animated-family,animated-family,majority,absurdist|playful,absurdist|playful,absurdist|playful,1,fast,fast,fast,full
1911,tv,Bones,moderate,procedural,police-procedural,police-procedural,majority,murder-mystery,procedural,,none,cerebral|tense,wry|cerebral|gritty,wry|earnest,0.167,moderate,moderate,moderate,full
241609,tv,Your Friends & Neighbors,moderate,black-comedy,black-comedy,heist,majority,crime-drama,crime-drama,dark-comedy,majority,cynical|wry|tense,cynical|wry|tense,cynical|wry|tense,1,moderate,moderate,fast,majority
2224,tv,The Daily Show,none,news-satire,news-satire,news-satire,full,,,,full,satirical|wry|playful,satirical|wry,satirical|wry,0.778,fast,fast,fast,full
1421,tv,Modern Family,moderate,family-sitcom,family-sitcom,family-sitcom,full,,mockumentary,mockumentary,majority,warm|playful|wry,warm|playful|sentimental,warm|playful,0.611,fast,moderate,fast,majority
64099,tv,War and Peace,moderate,period-romance,historical-drama,historical-drama,majority,historical-drama,romantic-drama,romantic-drama,majority,romantic|earnest|melancholic,earnest|melancholic|bittersweet,earnest|melancholic,0.611,moderate,slow,slow,majority
66732,tv,Stranger Things,moderate,supernatural-horror,supernatural-horror,sci-fi-horror,majority,mystery-thriller,coming-of-age-drama,coming-of-age-drama,majority,tense|menacing,tense|unsettling|warm,tense|unsettling|earnest,0.333,fast,fast,moderate,majority
30984,tv,Bleach,low,anime-action,anime-action,anime-action,full,urban-fantasy,martial-arts,urban-fantasy,majority,earnest|visceral,tense|earnest|visceral,earnest|visceral,0.778,fast,fast,fast,full
215072,tv,A Shop for Killers,moderate,mystery-thriller,mystery-thriller,action-thriller,majority,action-thriller,tech-thriller,mystery-thriller,none,tense|gritty|enigmatic,tense|unsettling|gritty,tense|gritty,0.611,fast,fast,fast,full
502,tv,Sesame Street,moderate,sketch-comedy,sketch-comedy,animated-family,majority,,,sketch-comedy,majority,warm|playful|earnest,warm|playful|uplifting,warm|playful|earnest,0.667,fast,moderate,moderate,majority
2661,tv,Kamen Rider,low,superhero,superhero,superhero,full,martial-arts,martial-arts,adventure-action,majority,earnest|menacing,tense|earnest|menacing,earnest|menacing,0.778,fast,fast,fast,full
